Asset,Weight,Risk_Contribution,Target_Contribution,Relative_Error
PETR4,0.0633253305255851,0.017027281299232644,0.0162945862679124,0.044965549862599374
VALE3,0.20646987279384338,0.011436006759812697,0.0162945862679124,-0.2981713943647226
ITUB4,0.07985614738236461,0.017181604579269368,0.0162945862679124,0.05443638130927564
BBDC4,0.0635474578783382,0.016244041100221675,0.0162945862679124,-0.0031019607899011037
ABEV3,0.10457047201918326,0.015516679310132665,0.0162945862679124,-0.04774020923204447
B3SA3,0.08035183067698615,0.017552179776251512,0.0162945862679124,0.07717860936522136
WEGE3,0.17241383913508232,0.017294639496373197,0.0162945862679124,0.06137334277889095
RENT3,0.0848117903889043,0.017098428911813398,0.0162945862679124,0.049331884264158354
LREN3,0.10906080715500512,0.016906128677624192,0.0162945862679124,0.03753040424941956
ELET3,0.035592452044707505,0.01668887276839268,0.0162945862679124,0.024197392557104402
